theta,tx,ty
-5.53016e-05,2.30961,0.877011
-6.44394e-05,2.2675,0.858621
-1.16267e-05,2.3503,0.839599
-4.58947e-05,2.26424,0.832862
-7.35579e-05,2.24243,0.892003
-4.15306e-05,2.18923,0.846844
-7.84092e-05,2.365,0.934175
1.5627e-07,2.23355,0.889981
-2.81431e-05,2.28463,0.952356
-4.32696e-05,2.31487,0.944553
-2.79379e-05,2.24825,1.0117
-2.98218e-05,2.26505,0.985848
-3.43493e-05,2.30816,0.984875
9.25379e-06,2.24216,1.00929
-5.24188e-05,2.2639,1.03762
-1.61189e-05,2.25735,1.03936
-1.3387e-05,2.19397,1.03343
-2.35886e-05,2.28008,1.02214
-2.54824e-05,2.26173,1.06184
-1.07893e-05,2.24033,1.072
-2.70076e-05,2.23934,1.06572
-1.34055e-05,2.17705,1.00564
-1.41902e-05,2.30589,1.03803
5.17084e-05,2.19892,1.08339
-6.04703e-05,2.20236,1.03202
-4.4144e-05,2.18783,1.05884
-1.51276e-05,2.22398,1.0659
-1.70878e-05,2.15716,1.11936
-4.60569e-05,2.22532,1.06149
-2.57734e-05,2.23209,1.15197
-6.3424e-05,2.27937,1.2124
-1.74549e-05,2.3277,1.12944
2.25293e-05,2.38846,1.3807
7.0503e-05,2.77191,1.36499
-3.36225e-06,2.97178,1.29955
5.40216e-05,2.79183,1.30175
9.64092e-05,2.78084,1.24178
5.03843e-05,2.47226,1.20772
3.36552e-05,2.59996,1.15947
6.0611e-05,2.50393,1.18907
8.97527e-05,2.40574,1.12154
6.96779e-05,2.2869,1.11043
0.0001207,1.95537,1.10849
-1.17721e-05,1.76956,1.06234
0.000107512,1.69496,1.09435
3.73414e-05,1.61136,1.04597
2.62851e-05,1.53156,1.01734
1.7244e-07,1.64981,1.01669
1.7147e-06,1.63796,1.00511
9.33389e-05,1.59723,0.971731
1.69971e-05,1.65878,1.01699
1.82997e-05,1.6262,0.977827
4.32622e-05,1.74986,0.930186
-4.15801e-05,1.55394,0.941383
-1.01265e-05,1.59084,0.888646
-3.40605e-05,1.70641,0.917026
-7.21554e-05,1.60294,0.937534
4.62962e-06,1.53392,0.899774
-2.46957e-05,1.62235,0.927408
1.2081e-05,1.51312,0.886753
-5.40396e-05,1.61652,0.907503
4.98505e-07,1.56529,0.862135
1.25686e-05,1.57981,0.858963
-2.81556e-05,1.53778,0.806061
-9.86683e-06,1.49053,0.788916
-3.21791e-06,1.53266,0.782341
-8.90563e-06,1.64289,0.780904
1.50508e-05,1.54121,0.750655
5.1475e-06,1.56183,0.756343
1.66912e-05,1.60545,0.728496
4.98268e-05,1.43469,0.694017
-8.57101e-06,1.56032,0.589416
4.15571e-05,1.57149,0.564279
-4.85385e-05,1.53159,0.548407
-1.52132e-05,1.55369,0.523801
9.27012e-06,1.62531,0.500646
3.16319e-05,1.56903,0.492846
4.59838e-05,1.65396,0.485452
6.03357e-05,1.6881,0.471898
5.96017e-06,1.69503,0.469163
0.000106812,1.72828,0.353694
4.43504e-05,1.71819,0.420261
3.94522e-05,1.70777,0.427816
1.178e-05,1.76447,0.412882
1.4678e-05,1.78087,0.334659
5.85585e-06,1.79821,0.344201
4.75867e-05,1.77263,0.331349
1.37261e-05,1.78166,0.318862
4.21993e-05,1.87983,0.377538
6.18152e-05,1.83413,0.305573
5.19681e-05,1.89402,0.295316
1.92251e-05,1.85661,0.225755
8.2007e-05,1.84484,0.193803
2.01224e-05,1.89092,0.19087
5.80659e-05,1.90159,0.199215
2.32563e-05,1.88025,0.173279
6.5224e-06,1.94712,0.194009
5.77914e-05,1.95611,0.163932
4.22404e-05,1.95546,0.113196
2.22114e-05,1.96634,0.0727494
1.47577e-05,1.96799,0.0619432
4.54868e-05,1.95591,0.0821638
3.27012e-05,1.98699,0.0629248
4.51943e-05,2.04787,0.05217
7.57481e-05,1.94877,0.0318987
4.87796e-05,2.08587,0.0215728
-2.51716e-06,1.9028,0.027774
1.00912e-05,2.03084,0.0223249
3.86686e-05,2.0186,0.00342139
3.61633e-05,2.02284,0.016521
3.18267e-05,2.06902,0.016687
4.47805e-05,2.00578,0.0125276
3.47043e-05,2.16538,-0.0187348
2.66164e-05,2.01788,-0.0100259
2.19154e-05,2.05058,-0.0376602
2.00919e-05,2.07925,-0.0324383
2.10445e-06,2.12291,-0.0576258
3.56829e-05,2.1258,-0.0795231
9.33034e-06,2.16378,-0.081837
5.83999e-05,2.07492,-0.130162
3.47671e-06,2.15535,-0.189353
8.6833e-05,2.15943,-0.102069
8.41231e-06,2.17357,-0.177649
1.77963e-05,2.1163,-0.131472
5.7113e-06,2.1773,-0.181663
1.41611e-05,2.23112,-0.13352
1.11316e-05,2.19951,-0.170151
9.84762e-05,2.18501,-0.118649
-9.66598e-06,2.26547,-0.175682
-1.56946e-05,2.21759,-0.15971
2.84864e-05,2.26871,-0.179788
2.9636e-05,2.28605,-0.166716
-3.38943e-06,2.2272,-0.224585
-1.96817e-05,2.28075,-0.206725
6.22682e-05,2.38374,-0.207973
-1.37987e-05,2.26044,-0.221423
-3.68882e-05,2.32012,-0.22506
3.71836e-05,2.28971,-0.236886
-2.46794e-05,2.41543,-0.328812
9.06483e-06,2.26258,-0.334767
-9.91549e-06,2.42437,-0.286086
-1.1631e-05,2.32548,-0.310224
-1.66663e-05,2.33461,-0.403253
1.71577e-08,2.45467,-0.338402
1.02975e-05,2.3018,-0.394312
-9.86113e-05,2.43619,-0.324077
-3.82259e-06,2.5584,-0.322755
-4.86234e-06,2.4635,-0.347621
1.20371e-06,2.65632,-0.44609
-0.000107597,3.06112,-0.356082
0.000110919,3.30587,-0.400374
-5.44728e-05,3.29316,-0.332001
3.40821e-05,3.09314,-0.226313
4.67254e-06,2.93097,-0.231818
3.93337e-05,3.02548,-0.184319
-1.61965e-05,2.99692,-0.121423
5.40138e-05,2.83666,-0.182037
-1.19505e-05,2.89442,-0.111654
-6.61672e-05,2.69589,-0.0827765
6.41511e-05,2.54933,-0.0546404
1.26969e-05,2.57728,-0.0565232
-6.41348e-05,2.44729,-0.0447322
-3.9075e-05,2.56775,-0.0417251
8.10687e-05,2.37714,-0.000566429
1.4004e-05,2.28416,0.00532529
-7.27399e-05,2.29191,0.0170779
3.7945e-05,2.1368,0.0190028
-9.21266e-05,2.04955,0.0333261
4.35671e-05,2.08166,0.042756
-8.80277e-05,1.96412,0.0966773
-1.87091e-05,1.89725,0.0723698
-1.10127e-06,1.84835,0.0400386
